2026-04-02 16:23:58.007 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 16:23:58.053 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 22700 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 16:23:58.054 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 16:23:58.880 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 16:23:58.883 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 16:23:58.924 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2026-04-02 16:23:59.917 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-02 16:23:59.936 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-02 16:23:59.937 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 16:23:59.938 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 16:24:00.052 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 16:24:00.053 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1961 ms
2026-04-02 16:24:01.149 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 16:24:01.492 [main] INFO  o.a.r.s.s.RocketMQMessageListenerContainerRegistrar - Register the listener to container, listenerBeanName:orderCreateConsumer, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2026-04-02 16:24:01.501 [main] INFO  o.a.r.s.s.RocketMQMessageListenerContainerRegistrar - Register the listener to container, listenerBeanName:orderCreateDeadLetterConsumer, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2026-04-02 16:24:02.288 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-02 16:24:02.302 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-04-02 16:24:02.408 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2026-04-02 16:24:02.420 [main] INFO  o.a.r.s.s.DefaultRocketMQListenerContainer - container destroyed, DefaultRocketMQListenerContainer{consumerGroup='order-create-dead-letter-consumer-group', namespace='', namespaceV2='', nameServer='127.0.0.1:9876', topic='order-create-dead-letter-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING', tlsEnable=false, instanceName=DEFAULT}
2026-04-02 16:24:05.407 [main] INFO  o.a.r.s.s.DefaultRocketMQListenerContainer - container destroyed, DefaultRocketMQListenerContainer{consumerGroup='order-create-consumer-group', namespace='', namespaceV2='', nameServer='127.0.0.1:9876', topic='order-create-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING', tlsEnable=false, instanceName=DEFAULT}
2026-04-02 16:24:07.299 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-04-02 17:50:57.603 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 17:50:57.654 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 26184 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 17:50:57.655 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 17:50:58.498 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 17:50:58.502 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 17:50:58.546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2026-04-02 17:50:59.508 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 17:50:59.525 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 17:50:59.527 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 17:50:59.527 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 17:50:59.643 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 17:50:59.644 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1942 ms
2026-04-02 17:51:01.273 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 17:51:01.676 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 17:51:01.688 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 17:51:01.695 [main] INFO  com.example.ServerApplication - Started ServerApplication in 4.858 seconds (process running for 6.11)
2026-04-02 20:35:32.661 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 20:35:32.670 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 20:41:27.725 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 20:41:27.763 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 28372 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 20:41:27.764 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 20:41:28.518 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 20:41:28.520 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
